gs_name,gene_symbol
MPA_Up,CTSS
MPA_Up,S100A10
MPA_Up,S100A11
MPA_Up,S100A12
MPA_Up,FCER1G
MPA_Up,G0S2
MPA_Up,AL390728.4
MPA_Up,ATRAID
MPA_Up,POLE4
MPA_Up,AC140479.4
MPA_Up,CD96
MPA_Up,STIM2-AS1
MPA_Up,ANXA3
MPA_Up,RNY3P1
MPA_Up,TBC1D7
MPA_Up,HLA-DRA
MPA_Up,MTCH2
MPA_Up,AC027287.2
MPA_Up,GTF3A
MPA_Up,LCP1
MPA_Up,RNY3P8
MPA_Up,PSME1
MPA_Up,SNRPN
MPA_Up,NTAN1
MPA_Up,AL135938.1
MPA_Up,OSER1
MPA_Up,S100B
MPA_Up,BEX1
MPA_Up,FUNDC2
MPA_Down,SPEN
MPA_Down,GRHL1
MPA_Down,KLF11
MPA_Down,CLASP1
MPA_Down,CPEB4
MPA_Down,HINT3
MPA_Down,CNKSR3
MPA_Down,IL7
MPA_Down,NPAT
MPA_Down,PPP4R3A
MPA_Down,FP565260.6
MPA_Down,L3MBTL2-AS1
MPA_Down,XIAP
